English,Igbo
glad,obiuto
original,nke mbido
share,ike
station,ebe ugboigwe na-ano
dad,nna
bread,achicha
charge,ijali
proper,kwesiri ekwesi
bar,mgbochi
offer,mmere
segment,nke
slave,ohu nwaanyi
duck,ọbọgwụ
instant,ozugbonje
market,ahia
degree,digirii
populate,roputa
chick,igbu gburu aja
dear,nke oma
enemy,onye iro
reply,iza
drink,inu
occur,ino
support,onyenjideaka
speech,okwuonu
nature,agwa
range,renji
steam,uzuoku
motion,ukporo
path,uzo ndiji ukwu eje
liquid,kemmiri
log,loogu
meant,putara
quotient,isi ihe
teeth,ezé
shell,shei
neck,olu
ask,iju
need,mkpa
too,kwa
feel,imetuta
three,ato
state,onodu
never,emeghi
between,n'etiti
high,keelu
really,nke nsiridi
something,a
most,ufodu
another,keozo
much,ukwuu
family,ezi na ulo
own,nke
leave,ipa ihapu
put,dote
old,ika nka
while,mgbe
mean,putara
keep,idebe
student,nwaakwuko nwoke
why,gini
let,ikwere
great,keuwu
same,nke ibuotu
big,nnukwu
group,otu
begin,ibido
seem,idika
country,obodo
help,Enyemaka
talk,ikwu
where,ebe
turn,okporouzo
problem,nsogbu
every,obula
start,ibido inya moto
hand,aka
might,ike
American,Onye Amerika
show,izi
part,nkewa
against,mbuso
place,dowe
such,dika
again,ozo
few,obere
case,akpati
week,wiik
company,nsoro
system,sistem
each,otu n'ime
right,nke imete
program,atumatu
hear,inu ihe
question,ajuju
during,n'oge
play,gwuria
government,ochuchu
run,igbaoso
small,nke ntakiri
number,onuogugu
off,igbanyu
always,mgbe dum
move,inoghari
night,uchichi
live,kendu
Mr,M ukwu
point,onu
believe,ikwe ekwe
hold,ijide
today,taa
bring,iwete
happen,ime eme
next,Osote
without,n'akuku
before,tupu
large,keibu
million,nde
must,ga
home,ulo
under,n'okpuru
water,mmiri
room,mkpuru
write,ide dee
mother,nne
area,uzo
national,nkeobodo
money,ego
story,akukoifo
young,keetghieto
fact,mmereme
month,otu onwa n'ime ato
different,ndiiche
lot,otutu
study,imu
book,akwukwo
eye,anya
job,oru
word,mkpuruokwu
though,doo
business,ahia ozuzu
issue,inye
side,akuku
kind,keobioma
four,ano
head,isi
far,kento aka
black,oji
long,keogologo
both,ha abuo
little,keobere
house,ulo
yes,okwukwe
since,kemgbe
provide,weta
service,nnyemaka
around,n'uzo
friend,enyi
important,keuru
father,nna
sit,inodu
away,opupu
until,tutuu
power,ike
hour,oge
game,egwuruegwu
often,otutu mgbe
yet,ma
line,akara
political,nke ochichi
end,nkwusi
among,n'etiti
ever,mgbedum
stand,guzo
bad,ajo
lose,ida
however,mana
member,otu
pay,ugwo
law,iwu
meet,zuko
car,obere ugboala
city,obodo
almost,ofokwa
include,isonye
continue,isochi
set,set
later,n'ikeazu
community,obodo
name,aha
five,ise
once,otu mgbe
white,ucha
least,kacha peempe
president,onye ochichi ala
learn,imu ihe
real,nke anyahuru
change,igbanwe
team,tim
minute,nke ntakiri
best,okacka mma
several,otutu
idea,echiche
kid,nwata
body,ahu
information,ihe ogwugwa
nothing,ihe efu
ago,oge gara aga
lead,izizi
social,nke otu
understand,ighota
whether,ma
watch,mgbe
together,otuebe
follow,iso
parent,nne na nna
stop,Kwụsị
face,ihu
anything,ihe obula
create,ike
public,nke oha
already,ugbua
speak,kwuo
others,ndi ozo
read,guo
level,ukelarii
allow,ikwere
add,igbako
office,onodu
spend,imefuego
door,uzo
health,ahu ike
person,onye
art,nka
sure,nke ndabere
war,agha
history,aguguala
party,otu
within,nime
grow,ibu ibu
result,rizootu
open,meghe
morning,ututu
walk,iga
reason,ucheobi
low,kediala
win,imeri
research,resaachi
girl,nwata nwaanyi
guy,ndi mmadu
early,n'oge
food,nri
moment,ogenta
himself,onwegh
air,ikuku
teacher,onyenkuzi nwoke
force,ike ike
offer,mmere
enough,izu oke
education,mmuta
across,uhie
although,n'agbanyego
remember,icheta
foot,ukwu
second,sekon
boy,nwata nwoke
maybe,enwere ike
toward,iji
able,inwe ike
age,igba afo
policy,amuma agwa
everything,ihe obula
love,ihunaanya
process,otu esi emeputa ihe
music,uneghune
including,na nsonye
consider,itule
appear,iputa
actually,n'eziokwu
buy,izu
probably,inwe ike ime
human,mmadu
wait,chere
serve,ijeozi
market,ahia
die,inwu
send,zipu
expect,n'obi
sense,uche
build,iru
stay,nodu
fall,ida ada
oh,ooh
nation,ala
plan,plan
cut,igbuji
college,koleeji
interest,mmasi
death,onwu
course,koosu
someone,mmadu
experience,ahumihe
behind,azu
reach,rute
local,ebeulo
kill,igbu
six,isii
remain,inoro
effect,mputara
yeah,ee
suggest,ịkwaego
class,udi
control,ike nchikota
raise,inako ego
care,nlezi
perhaps,eleghi anya
late,abiaghi n'oge
hard,siri ike
field,fiilidi
else,ozo
pass,gaa njem
former,kembu
sell,ree
major,mejo
sometimes,mgbeufodu
require,icho
along,gologo uzo
development,mmepe
report,repot
role,oru
better,nke ka mma
economic,ekonomik
effort,mbo
decide,ikpebi
rate,egoahia
strong,ike
possible,ipu omume
heart,obi
drug,ogwu
leader,onye ochichi
light,kemfe
voice,olu
wife,nwunye
whole,keuju
police,ndi uweojii
mind,uche
finally,n'ikpaazu
pull,Dọọ
return,ibia
free,inwere enwe
military,ami
price,ego ozuzu
less,Mpekarị
according,dika
decision,mkpebi
explain,ikowa
son,nwanwoke
hope,nchekwube
develop,imepe
view,ucheobi
relationship,ndi mmekorita
carry,ibu
town,obodo
road,okporouzo
drive,inya
arm,mpata ukwu
TRUE,Ke eziokwu
federal,keetiti
break,ezumike
difference,ndimiiche
thank,ikele
receive,naputa
value,baa uru
international,ozuruuwa
building,ulo
action,emereme
full,juju
model,mogosi
join,iso
season,sizen
society,otu
tax,tax
director,daireto
position,okwa
player,onye ejije nwoke
agree,ikwere
especially,tumadu
record,ndeko ego
pick,ghota
wear,yiri
paper,akwukwo
special,nke puruiche
space,eluuwa
ground,ala
form,odidi
support,onyenjideaka
event,mmeeme
official,nke okwa
whose,onye
matter,okwu
everyone,onye obula
center,etiti
couple,di na nwunye
site,sanet
project,arumaru
hit,iti
base,isi
activity,mmume
star,kpakpondo
table,okpokoro
court,kootu
produce,mepụta
eat,iri
teach,izi
oil,ite mmanu
half,keokara
situation,onodu
easy,mfe
cost,ida onu
industry,ndostri
figure,odidi ahu
street,striit
image,oyiyi
itself,ofu
phone,Ekwentị
either,ma obu
data,data
cover,mkpuchi
quite,ezi
picture,esemese
clear,agwa idiocha
practice,omume
piece,ibe
land,nlodata
recent,ohuru
describe,ikowa
product,ihe emeputara ohuru
doctor,dibia bekee
wall,mgbaaja
patient,inwe ndidi
worker,onyeoru nwoke
news,ububo
test,inwa
movie,muvi
certain,keamaaama
north,ugwu
personal,nke mmadu
simply,maka imeidonaya
third,nke ato
technology,teknoloji
catch,gbute
step,izo
baby,nwata
computer,komputa
type,udi
attention,ige nti
draw,ise
film,fiim
Republican,Repoblican
tree,osisi
source,nsiputa
red,uhie
nearly,oforontakiri
organization,oganizashion
choose,ihoro
cause,mkpatara
hair,aji ahu
century,nariafo
evidence,akaebe
window,windo
difficult,isiike
listen,ige nti
soon,ogeeteghianya
culture,omenaala
billion,njeri
chance,oge
brother,nwanne nwoke
energy,ike
period,oge
summer,soma
realize,mgbanuuche
hundred,nari
available,kediadi
plant,kuo
likely,kwesiri
opportunity,ndaba
term,tem
short,mkpirisi
letter,leta
condition,onodu
choice,mmasi
single,otu
rule,iwu
daughter,nwa nwaanyi
administration,ochichi
south,ndida
husband,di
Congress,Nzuko
floor,ala ulo
campaign,kampeenu
material,mgwooru
population,nguputa mmadu
economy,aku
medical,keogwu
hospital,ulo ogwu
church,uka
close,mechie
thousand,puku
risk,ihe na-eweta njo
current,korenti mmiri
fire,oku
future,odiniihu
wrong,keadabaghi
involve,ighasa
defense,ozize
anyone,onye obula
increase,mmubanye
security,onye akaebe
bank,ulo aku
myself,enwe kwa
certainly,amaaama
west,odida anyanwu
sport,egwuregwu
board,iba
seek,choo
per,par
subject,sobjekiti
officer,okwa soja
private,abughi nke oha
rest,nzuike
behavior,agwa
deal,mmesiike
performance,emume ngosi
fight,ogu
throw,itu
top,elu ugwu
past,agafego
goal,ebumnobi
bed,akwa
order,usoro oru
author,odee
fill,imeju
represent,inochi
focus,ike ele anya
foreign,forin
drop,idebe
blood,obara
upon,n'elu
agency,ulo ozi
push,Kwaa
nature,agwa
color,agba
recently,oge na-adighi anya
store,storaji
reduce,medata
sound,uda
note,dee
fine,iwu
near,nso
movement,ije
page,ihuakwukwo
enter,iba
share,ike
common,komon
poor,emezighi
natural,eke
race,oso
concern,mgbasa
series,nsorosoro
significant,nke dimkpa
similar,iyi
hot,oku
language,asusu
usually,mgbedum
response,aziza
dead,onwu
rise,ibili
animal,anu ohia
factor,ihe
decade,afo iri
article,edide
shoot,gbaa
east,owuwa anyanwu
save,zoputa
seven,Asaa
artist,omenka
scene,n'ebe anya
stock,stok
career,oru
despite,n'agbanyeghi
central,keetiti
eight,asato
thus,dos
treatment,mmesiike
beyond,ngafe
happy,keobi anuri
exactly,dam
protect,chegide
approach,ibia nso
lie,imakpu
size,saiz
dog,nkita
fund,ego oru
serious,nke isiike
occur,ino
media,ntaakuko
ready,ke njikere
sign,ruaka
thought,uche
list,ilisti
individual,kemmadu
simple,nke enweghiaghugho
quality,mma
pressure,okwukwa
accept,nabata
answer,iza
resource,onye nju
identify,irugosi
left,keekpe
meeting,nzuko
determine,igba mbo
prepare,jikere
disease,oria
whatever,otuodila
success,oganihu
argue,iru uko
cup,iko
particularly,nke gbaraiche
amount,ego
ability,ike
staff,onyeoru
recognize,mara
indicate,igosi
character,agwa
growth,ibu
loss,mfulahu
degree,digirii
wonder,ntunnanya
attack,ibuso agha
herself,onwe ya
region,obodo
television,televishion
box,akpati
training,ozuzu oru
pretty,ima mma
trade,izu ahia
election,nhoputa
everybody,onye obula
physical,fisikal
lay,iyi akwa
general,jenaral
feeling,mmetuta
standard,standadi
bill,iwu
message,ozi
fail,ida
outside,n'ilo
arrive,ilota
analysis,nseke
benefit,iba uru
sex,seks
forward,n'ihu
lawyer,okiikpe
present,ino mgbe ihe mere
section,ngalaba
environmental,gburugburu ebe obibi
glass,glaasi
skill,nka
sister,nwannenwaanyi
PM,Pm
professor,okammuta nwoke
operation,iwu ihe
financial,keego
crime,mpu
stage,ogbo
ok,Ọ dị mma
compare,itulerita
authority,onye isi
miss,igafe ihe
design,imewe
sort,sot
act,ime emume
ten,iri
knowledge,mmuta
gun,egbe
station,ebe ugboigwe na-ano
blue,bluu
strategy,strateji
clearly,n'ụzọ doro anya
discuss,ikpa maka
indeed,eziokwu
truth,eziokwu
song,abu
example,omuma atu
democratic,keochichi ndi nkiti
check,nleru anya
environment,agbata
leg,ukwu
dark,itiri
various,iche iche
rather,msorobi
laugh,ichi ochi
guess,iche eche
executive,ezekutiv
prove,ziputa
hang,ikowe
entire,iba
rock,okute
forget,ichefu
claim,Mgbarakwa
remove,iwepu
manager,onyeisi oru
enjoy,obi anuri
network,netwok
legal,keiwu
religious,nke okwukwe
cold,oyi
final,nke ikpeazu
main,keisi
science,sayensi
green,griin
memory,n'isi
card,kaadi
above,karia
seat,okwa
cell,seelu
establish,igosi
nice,mma
trial,ikpe
expert,dioka
spring,spring
firm,kechim
Democrat,Ekwuroala
radio,redio
visit,obia
management,maneeji
avoid,igbochi
imagine,ka ewere
tonight,abalita
huge,ibu
ball,bowi
finish,imecha
yourself,gi onwe gi
theory,tiori
impact,mmekuta
respond,ikwu
statement,okwukwu
maintain,ilekwa anya
charge,ijali
popular,nke zuruoha
traditional,keodinaala
onto,oto
reveal,ikpugbe
direction,uzo
weapon,ngwa ogu
employee,onye eweere n'oru
cultural,ke omena ala
contain,ijido
peace,udo
pain,mgbu
apply,ide
measure,mesho
wide,obodobo
shake,ikwanye
fly,ife efe
interview,ajuju oru
manage,imaneeji
chair,oche
fish,azu
particular,igbaiche
camera,kamera
structure,ndoko
politics,ochichi
perform,igosi
bit,igwe inyinya
weight,aro
suddenly,na mberede
discover,ichoputa
candidate,nwa akwukwo
production,ihe mmeputa
treat,treet
trip,njem
evening,mgbede
affect,imetu
inside,keime
conference,nzuko
unit,unit
style,akanka
adult,keokorobia
worry,icheche
range,renji
mention,mkpotu
deep,keomimi
edge,onu
specific,spesifik
writer,odee nwoke
trouble,nsogbu
necessary,idi mkpa
throughout,truuaut
challenge,nruaka n'anya
fear,ujo
shoulder,ubuaka
institution,ewumewu
middle,etiti
sea,osimiri
dream,iro nro
bar,mgbochi
beautiful,oma
property,aku
instead,kama
improve,inwe oganiihu
stuff,stof
detail,nju
method,nka imeihe
somebody,a
magazine,magaziini
hotel,hoteelu
soldier,ami
reflect,chezie
heavy,kedi aru
sexual,seksual
bag,akpa
heat,ekpomooku
marriage,alumdi
tough,ikike
sing,ibu
surface,elu
purpose,ihe ebu n'obi mee ihe
exist,idi
pattern,nsoro
whom,onye
skin,anuahu
agent,ejenti
owner,nke nwanyi
machine,machiini
gas,gaasi
ahead,niihu
generation,ndudugandu
commercial,ulo ahia
address,ikwu okwu
cancer,kansa
item,ihe
reality,nsiridi
coach,onye koochi
Mrs,Oriakụ
yard,yad
beat,uda
violence,mmesiike
total,kemgbakota
tend,keotughi
investment,ntinye ego
discussion,mkparita uka
finger,mkpisi aka
garden,gadin
notice,nkwuputa
collection,mweta
modern,nke ugbua
task,ozi
partner,onyenrukooru nwoke
positive,nke oma
civil,uloetiti
kitchen,kichin
consumer,onye na-eri ahia
shot,ogbugba
budget,ihe ozuzu
wish,chee
painting,eterete
